Make,Model,Year,Color,Mileage,Transmission,Fuel,Price,Location,Date,URL
BMW,Série 3,2001,,,Manuelle,Essence,"1 550 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/1336d88ea95f0491e3aa9d2.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
BMW,E30,2000,,,Manuelle,Essence,"1 000 000
FCFA",Angré,07/07,https://media.jumiadeals.com/ci_live/b71c59216a5f0491ebae752.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Mazda,323,2003,,,Manuelle,Diesel,"1 350 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mitsubishi,Outlander,2015,,100000,Automatique,Essence,"9 800 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/da8a535a935f048bd243116.desktop-gallery-large.jpg
Toyota,Corolla,2001,,,Manuelle,Diesel,"1 850 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/4d534a5cd25f04910356094.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Mazda,323,2003,,,Manuelle,Diesel,"1 350 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Toyota,RAV4,2002,,,Manuelle,Essence,"2 800 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,1,2002,,2800,Automatique,Essence,"2 800 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/284b4c9dbd5f04912a55400.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Peugeot,406,2002,,125000,Manuelle,Essence,"2 800 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/1c2d9771875f048d37b0fd1.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Peugeot,307,2004,,0000,Automatique,Essence,"2 000 000
FCFA",Cocody,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Toyota,RAV4,2003,,169000,Manuelle,Essence,"3 699 900
FCFA",2 Plateaux,07/07,https://media.jumiadeals.com/ci_live/72c1b5e8ff5f048e4e73133.desktop-gallery-large.jpg
Toyota,Land Cruiser,2008,,,Automatique,Essence,"5 700 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,1,2002,,2800,Automatique,Essence,"2 800 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mercedes,C -class,2002,,,Automatique,Essence,"3 900 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/1cd7e55b505f048bae3c98d.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
BMW,3,2000,,00000,Manuelle,Essence,"1 200 000
FCFA",Cocody,07/07,https://media.jumiadeals.com/ci_live/2dc165821d5f048cbe42554.desktop-gallery-large.jpg
Toyota,Corolla,2003,,,Manuelle,Diesel,"1 400 000
FCFA",Yopougon,07/07,https://media.jumiadeals.com/ci_live/05b732f91e5f0491ecf3421.desktop-gallery-large.jpg
Toyota,Land Cruiser,2008,,,Automatique,Essence,"5 700 000
FCFA",Yopougon,07/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
