Make,Model,Year,Color,Mileage,Transmission,Fuel,Price,Location,Date,URL
Peugeot,306,1999,,175,Manuelle,Diesel,"1 550 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
BMW,X5,2005,,135000,Automatique,Essence,"2 900 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/c688b43e455f02ed4d02e36.desktop-gallery-large.jpg
BMW,Série 3,2006,,,Automatique,Essence,"6 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/f4774300f15f02ee7538c33.desktop-gallery-large.jpg
Dacia,Sandero,2010,,68300,Manuelle,Essence,"2 600 000
FCFA",Abidjan,06/07,https://media.jumiadeals.com/ci_live/056f2843635f02570dd4f28.desktop-gallery-large.jpg
Renault,Megane,2006,,00,Manuelle,Essence,"2 300 000
FCFA",Riviera,06/07,https://media.jumiadeals.com/ci_live/707341fbcc5f02ee8467b6a.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Toyota,Hilux,2018,,,,Essence,"33 000 000
FCFA",Marcory,06/07,https://media.jumiadeals.com/ci_live/4a64f40f875f02a294398c5.desktop-gallery-large.jpg
BMW,5,2005,,94000,Automatique,Essence,"3 150 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/6b9878bbd35f02aeaae87a8.desktop-gallery-large.jpg
Peugeot,306,1999,,175,Manuelle,Diesel,"1 550 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mazda,323,2000,,,Manuelle,Essence,"1 300 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/6b1c205dac5f027111bdb74.desktop-gallery-large.jpg
Hyundai,Santa Fe,2015,,,Manuelle,Essence,"16 000 000
FCFA",Bouaké,06/07,https://media.jumiadeals.com/ci_live/432c3580a65f028b5ca4ed3.desktop-gallery-large.jpg
Great Wall,Wingle 5,2013,,110000,Manuelle,Diesel,"6 700 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,206,1999,,185,Manuelle,Essence,"1 550 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mini,Cooper,2009,,,Automatique,Essence,"6 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/a22bf6c21e5f02ed392fc5f.desktop-gallery-large.jpg
Hyundai,Tucson,2006,,00,Automatique,Essence,"5 950 000
FCFA",Riviera,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Land rover,Range Rover,2018,,10000,Automatique,Essence,"65 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/76becf7d1a5f02956f97f7d.desktop-gallery-large.jpg
Hyundai,Tucson,2007,,102000,Automatique,Essence,"5 799 900
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/603d162ac25f028bf6ed0d7.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
,,,,,,,"50 000
FCFA",Angré,02/07,https://media.jumiadeals.com/ci_live/474ca2a6e55f047acb98d2c.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Peugeot,406,2002,,00,Manuelle,Essence,"2 300 000
FCFA",Riviera,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Mercedes,C -class,2011,,121000,Automatique,Essence,"7 850 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/b8f9e0f3fc5f02ac435da9b.desktop-gallery-large.jpg
Peugeot,407,2005,,120000,Manuelle,Essence,"1 750 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/bbea14c4f75f02ecbfd1012.desktop-gallery-large.jpg
Hyundai,Tucson,2014,,55000,Automatique,Essence,"12 499 900
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/abf908879f5f028ff347064.desktop-gallery-large.jpg
Mazda,3 MPS,2004,,,Automatique,Essence,"3 000 000
FCFA",Port Bouet,06/07,https://media.jumiadeals.com/ci_live/6f704405575f026edcce816.desktop-gallery-large.jpg
Lexus,IS,2015,,67000,Automatique,Essence,"16 000 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/76616b4bce5f02ab653a956.desktop-gallery-large.jpg
Mazda,6,2003,,,Automatique,Essence,"3 700 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/2ef04819615f026d2ec75b2.desktop-gallery-large.jpg
Kia,Rio,2006,,142000,Manuelle,Essence,"3 400 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/6cd09997cc5f02ec796206e.desktop-gallery-large.jpg
Mazda,BT-50,1998,,,Manuelle,Diesel,"2 200 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/672f6373885f0263ee408bd.desktop-gallery-large.jpg
Toyota,Corolla,2002,,175,Manuelle,Diesel,"2 550 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Toyota,RAV4,2003,,,Manuelle,Diesel,"3 500 000
FCFA",Anyama,06/07,https://media.jumiadeals.com/ci_live/20f225e7ae5f0265b92f71e.desktop-gallery-large.jpg
Toyota,Corolla,2002,,175,Manuelle,Diesel,"2 550 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/62ebae44295f02ea3b8e25c.desktop-gallery-large.jpg
Ford,Escape,2017,,44000,Automatique,Essence,"12 900 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/0c30f7d6fd5f025d009df01.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
BMW,Série 3,2007,,106096,Manuelle,Essence,"4 700 000
FCFA",Riviera,06/07,https://media.jumiadeals.com/ci_live/fc37b338d15f024dc953fe4.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Citroen,C4,2011,,254,Manuelle,Essence,"3 200 000
FCFA",Anyama,06/07,https://media.jumiadeals.com/ci_live/97609603db5f026001d8572.desktop-gallery-large.jpg
Mercedes,C -class,2011,,1,Automatique,Essence,"3 200 000
FCFA",Yopougon,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Toyota,Corolla,2000,,135000,Manuelle,Essence,"4 900 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/45b98b3e585f02242c8da55.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Hyundai,Tucson,2011,,46000,Automatique,Essence,"8 900 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/2b13711bd45f02618779253.desktop-gallery-large.jpg
Kia,Optima,2015,,62724,Automatique,Essence,"12 000 000
FCFA",Angré,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Tucson,2006,,00,Automatique,Essence,"5 950 000
FCFA",Riviera,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Kia,Optima,2015,,62724,Automatique,Essence,"12 000 000
FCFA",Angré,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Kia,Sorento,2006,,,Automatique,Diesel,"3 700 000
FCFA",Abidjan,06/07,https://media.jumiadeals.com/ci_live/386c20d3675f0224fb9e0c7.desktop-gallery-large.jpg
Toyota,Corolla,2001,,121000,Manuelle,Essence,"2 800 000
FCFA",Grand-Bassam,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Santa Fe,2013,,,Automatique,Essence,"7 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/96dc9160af5f02221341398.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Peugeot,Partner,1999,,200000,Manuelle,Diesel,"2 200 000
FCFA",Adjamé,06/07,https://media.jumiadeals.com/ci_live/9973e878d55f022a72b7b7a.desktop-gallery-large.jpg
Hyundai,Tucson,2006,,00,Automatique,Essence,"5 950 000
FCFA",Riviera,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Peugeot,Boxer,2005,,,Manuelle,Diesel,"2 500 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/93423e9d695f0240cb3e05a.desktop-gallery-large.jpg
BMW,1,2000,,150,Manuelle,Essence,"2 700 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/f41944bf455f02316ab3d4a.desktop-gallery-large.jpg
Mercedes,E -class,2012,,120000,Automatique,Essence,"15 900 000
FCFA",Marcory,06/07,https://media.jumiadeals.com/ci_live/097b566f715f022a29d9dfa.desktop-gallery-large.jpg
Mazda,3 MPS,2005,,160000,Automatique,Essence,"4 300 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/6e55a034795f021fdf57733.desktop-gallery-large.jpg
Mazda,MPV,2002,,0000,Manuelle,Diesel,"2 900 000
FCFA",Abidjan,06/07,https://media.jumiadeals.com/ci_live/2edbfc79485ec3a2612f013.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Mazda,CX-7,2008,,107000,Automatique,Essence,"4 500 000
FCFA",Riviera,05/07,https://media.jumiadeals.com/ci_live/98f53d394f5f0247843c223.desktop-gallery-large.jpg
Honda,CR-V,2018,,18000,Automatique,Essence,"18 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/4397b295005f02e84bc60f0.desktop-gallery-large.jpg
BMW,E30,2002,,,Automatique,Essence,"4 200 000
FCFA",Abobo,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Opel,Corsa,2008,,1,Manuelle,Essence,"2 700 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/d407f55c8b5f02638fdfbd8.desktop-gallery-large.jpg
,,,,,,,"50 000
FCFA",Angré,02/07,https://media.jumiadeals.com/ci_live/474ca2a6e55f047acb98d2c.desktop-gallery-large.jpg
Toyota,Corolla,2000,,190000,Automatique,Essence,"2 700 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/37110557d55f02e88fe04f0.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Mini,Cooper,2003,,200000,Manuelle,Essence,"2 900 000
FCFA",Marcory,06/07,https://media.jumiadeals.com/ci_live/501b70fda65f0256e8d3e8f.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Hyundai,Santa Fe,2017,,24000,Automatique,Essence,"16 500 000
FCFA",Anyama,03/07,https://media.jumiadeals.com/ci_live/7e6b5e457b5eff74248a2cb.desktop-gallery-large.jpg
Peugeot,Partner,2003,,,Manuelle,Diesel,"1 600 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/e4720f36485f02e987509b2.desktop-gallery-large.jpg
Kia,Rio,2006,,134200,Manuelle,Essence,"3 400 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/9939e983585f02eb0a69cdb.desktop-gallery-large.jpg
Mazda,323,2004,,100,Manuelle,Essence,"2 000 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/11e1ffdf765f026bb1916f1.desktop-gallery-large.jpg
Mitsubishi,Outlander,2011,,169000,Automatique,Essence,"7 500 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/6448946be35f022197da30d.desktop-gallery-large.jpg
Suzuki,Alto,2015,,140,Manuelle,Essence,"5 800 000
FCFA",Adjamé,06/07,https://media.jumiadeals.com/ci_live/ae723cec745f02128968199.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Toyota,Camry,2012,,121,Automatique,Essence,"6 500 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/0ba5a4f08c5f022184518ef.desktop-gallery-large.jpg
Toyota,Corolla,1996,,,Manuelle,Essence,"1 650 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/7c2cbeae0b5f02e4f3792c1.desktop-gallery-large.jpg
Ford,Edge,2010,,3,Automatique,Essence,"8 500 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/8db9d972e05f02e51a8d68f.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
BMW,3,2001,,147000,Manuelle,Essence,"3 250 000
FCFA",Yopougon,03/07,https://media.jumiadeals.com/ci_live/d97afa02625eff596473e3e.desktop-gallery-large.jpg
Peugeot,206,2011,,1,Manuelle,Essence,"2 950 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/9596c8529e5f02f025555c4.desktop-gallery-large.jpg
Mercedes,C -class,2002,,1,Automatique,Essence,"2 950 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/e23597dfca5f02e607c5766.desktop-gallery-large.jpg
Mitsubishi,L200,2008,,134000,Automatique,Essence,"5 300 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/8c930c920e5f02e8e11b34a.desktop-gallery-large.jpg
Renault,Scenic,1999,,185,Manuelle,Essence,"1 550 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/af9e3a08755f02e8cb63614.desktop-gallery-large.jpg
Peugeot,406,2003,,,Manuelle,Diesel,"1 400 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/bf23edf9de5f02e714ab5d3.desktop-gallery-large.jpg
Hyundai,Santa Fe,2016,,3,Automatique,Essence,"11 000 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/d98a7d5a815f02e5eef0dd4.desktop-gallery-large.jpg
Hyundai,Santa Fe,2015,,47000,,Essence,"16 000 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/0003351d885f020c6e73cc9.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Mitsubishi,Colt,2000,,,Manuelle,Essence,"1 850 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/99ab21ce4e5f02e97fad5ea.desktop-gallery-large.jpg
Honda,CR-V,2018,,18000,Automatique,Essence,"18 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/4397b295005f02e84bc60f0.desktop-gallery-large.jpg
Mitsubishi,Pajero,2008,,,Automatique,Diesel,"5 500 000
FCFA",Koumassi,06/07,https://media.jumiadeals.com/ci_live/2e6003b3e15f02ff4caa94b.desktop-gallery-large.jpg
Mercedes,C -class,2001,,1,Automatique,Essence,"3 150 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/99e24d71d45f02e7715644e.desktop-gallery-large.jpg
g
Hyundai,Tucson,2006,,135000,Automatique,Essence,"5 450 000
FCFA",Abobo,06/07,https://media.jumiadeals.com/ci_live/001a8b57725f02e760ef809.desktop-gallery-large.jpg
Mitsubishi,Pajero,2002,,,Manuelle,Diesel,"2 400 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/82e13f296b5f02e9509dba3.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Ford,Escape,2006,,,Automatique,Essence,"4 000 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/0f962ad0ad5f02e70a5a578.desktop-gallery-large.jpg
Hyundai,Getz,2007,,,,Essence,"3 700 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/df0b500d885f048c9fc2aef.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Peugeot,607,2005,,,Automatique,Essence,"3 400 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/86f2d283fc5f021a7d3b54f.desktop-gallery-large.jpg
Mercedes,CLK -class,2008,,3,Automatique,Essence,"2 600 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/cda64523165f02e7d499e91.desktop-gallery-large.jpg
Lifan,X50,2013,,,Manuelle,Essence,"2 000 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/58220241425f02e70e7b773.desktop-gallery-large.jpg
,,,,,,,"50 000
FCFA",Angré,02/07,https://media.jumiadeals.com/ci_live/474ca2a6e55f047acb98d2c.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Kia,Rio,2001,,,Automatique,Essence,"2 900 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/7537c103555f036c9e73430.desktop-gallery-large.jpg
Mazda,6,2003,,142000,Manuelle,Essence,"3 900 000
FCFA",Treichville,06/07,https://media.jumiadeals.com/ci_live/00cb87d2755f021014cb35f.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Mercedes,B-class,2005,,1,Automatique,Essence,"3 350 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/c16646e5ef5f02186783245.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Hyundai,H-1,2016,,65000,Manuelle,Diesel,"9 200 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/dda132def75f02ff42e57ab.desktop-gallery-large.jpg
BMW,1,2007,,89000,Manuelle,Essence,"5 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/4f8f13fe225f020869c99c0.desktop-gallery-large.jpg
Peugeot,406,1999,,175,Manuelle,Diesel,"1 350 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/4b3a3054985f02e47378895.desktop-gallery-large.jpg
Toyota,Corolla,1999,,175,Manuelle,Diesel,"2 650 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,406,2000,,,Manuelle,Essence,"2 300 000
FCFA",Aboisso,06/07,https://media.jumiadeals.com/ci_live/2acef172b15f021a663831c.desktop-gallery-large.jpg
Land rover,Range Rover,2007,,165000,Automatique,Essence,"5 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/7e4882fbf25f02e6af87208.desktop-gallery-large.jpg
,,,,,,,"50 000
FCFA",Angré,02/07,https://media.jumiadeals.com/ci_live/474ca2a6e55f047acb98d2c.desktop-gallery-large.jpg
Citroen,Xsara,1998,,,Manuelle,Essence,"850 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/6e71915c685f0371d98f4a6.desktop-gallery-large.jpg
Land rover,Range Rover,2007,,220,Automatique,Essence,"5 500 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/a13559e5c05f02e14dc7fbf.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
Suzuki,Grand Vitara,2009,,,Manuelle,Essence,"1 900 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/6a615a95ba5f02e17b76158.desktop-gallery-large.jpg
Peugeot,406,2000,,230,Manuelle,Essence,"2 000 000
FCFA",Abobo,04/07,https://media.jumiadeals.com/ci_live/f2198d98415f00d1302b719.desktop-gallery-large.jpg
BMW,X3,2009,,109000,Automatique,Essence,"2 300 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/031953f3e15f02e0c2a8c75.desktop-gallery-large.jpg
Peugeot,406,2000,,202000,Manuelle,Essence,"2 400 000
FCFA",Cocody,01/07,https://media.jumiadeals.com/ci_live/60bc15ee625efc91083a0c4.desktop-gallery-large.jpg
Mazda,MPV,2005,,,Automatique,Essence,"2 700 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/172ed3b7715f02e3f623ba3.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Great Wall,Haval H9,2017,,37000,Automatique,Essence,"16 500 000
FCFA",Abidjan,01/07,https://media.jumiadeals.com/ci_live/cf10c88aed5ef1d63a2f284.desktop-gallery-large.jpg
Nissan,Murano,2006,,,Automatique,Essence,"4 000 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/466c3f0eca5f02e07b20409.desktop-gallery-large.jpg
Toyota,RAV4,2009,,109000,Automatique,Essence,"4 000 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/6ac5db5cc05f02e14eac92e.desktop-gallery-large.jpg
Renault,Scenic,2000,,,Manuelle,Essence,"2 200 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/c368d934305f02ff548c394.desktop-gallery-large.jpg
Peugeot,406,1999,,175,Manuelle,Diesel,"1 350 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Peugeot,407,2003,,146000,Manuelle,Essence,"2 250 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Mazda,CX-7,2016,,3,Automatique,Essence,"10 700 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/a429b1937d5f02e1d8af4e7.desktop-gallery-large.jpg
Autre,Autre,1999,,,Automatique,Essence,"3 800 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/0d0ed4cc5f5f02fef89616e.desktop-gallery-large.jpg
y-large.jpg
Mitsubishi,Galant,1999,,175,Manuelle,Essence,"1 650 000
FCFA",Cocody,06/07,https://deals.jumia.ci/deals/images/placeholders/ve/cars.jpg
Toyota,Verso,2009,,109000,Automatique,Essence,"2 100 000
FCFA",2 Plateaux,06/07,https://media.jumiadeals.com/ci_live/16c96ae84b5f02e25e2d4b9.desktop-gallery-large.jpg
Hyundai,Tucson,2015,,41000,Automatique,Essence,"12 500 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/9935d014f65f035764a9245.desktop-gallery-large.jpg
Honda,CR-V,2000,,150000,Automatique,Essence,"4 000 000
FCFA",Koumassi,06/07,https://media.jumiadeals.com/ci_live/50a3011f715f02e32ecd42b.desktop-gallery-large.jpg
BMW,E30,1999,,,Manuelle,Essence,"1 900 000
FCFA",Yopougon,06/07,https://media.jumiadeals.com/ci_live/a429b1937d5f02e1d872a07.desktop-gallery-large.jpg
Suzuki,Alto,2018,,120000,Manuelle,Essence,"3 400 000
FCFA",Angré,06/07,https://media.jumiadeals.com/ci_live/e659eb7afc5f0300766f436.desktop-gallery-large.jpg
Autre,Autre,2007,,,Automatique,Essence,"5 800 000
FCFA",Cocody,06/07,https://media.jumiadeals.com/ci_live/1dd22d426b5f02e2a689ff3.desktop-gallery-large.jpg
